regime,sim_seed,init_seed,model,metric,value
linear,2019,125,MPTE,RMSE,1.3026360181384264
linear,2019,125,MPTE,MAE,1.0372012657656027
linear,2019,125,MPTE,DA,0.5180722891566265
linear,2019,125,AR,RMSE,1.911689947717968
linear,2019,125,AR,MAE,1.4814370168707776
linear,2019,125,AR,DA,0.4789156626506024
linear,2019,125,MIDAS,RMSE,1.379932548932019
linear,2019,125,MIDAS,MAE,1.0933791818172178
linear,2019,125,MIDAS,DA,0.5210843373493976
linear,2019,125,AB1,RMSE,1.3718184658175692
linear,2019,125,AB1,MAE,1.0759693793081042
linear,2019,125,AB1,DA,0.5240963855421686
linear,2019,125,AB2,RMSE,1.3293108274488017
linear,2019,125,AB2,MAE,1.046853294131264
linear,2019,125,AB2,DA,0.5120481927710844
linear,2019,125,AB3,RMSE,1.3345118992775165
linear,2019,125,AB3,MAE,1.0470432830187537
linear,2019,125,AB3,DA,0.5240963855421686
linear,2019,125,AB4,RMSE,1.4862981658612853
linear,2019,125,AB4,MAE,1.1972737601074919
linear,2019,125,AB4,DA,0.49096385542168675
linear,2019,125,AB5,RMSE,1.3671732847662275
linear,2019,125,AB5,MAE,1.0666123943624326
linear,2019,125,AB5,DA,0.46987951807228917
linear,2020,125,MPTE,RMSE,1.472587359104365
linear,2020,125,MPTE,MAE,1.1749960150681513
linear,2020,125,MPTE,DA,0.5331325301204819
linear,2020,125,AR,RMSE,1.4785098494261295
linear,2020,125,AR,MAE,1.1796817106234359
linear,2020,125,AR,DA,0.045180722891566265
linear,2020,125,MIDAS,RMSE,1.3067977294726099
linear,2020,125,MIDAS,MAE,1.0448464110183655
linear,2020,125,MIDAS,DA,0.5963855421686747
linear,2020,125,AB1,RMSE,1.4227070276517855
linear,2020,125,AB1,MAE,1.1331795134649618
linear,2020,125,AB1,DA,0.44879518072289154
linear,2020,125,AB2,RMSE,1.4943329726369756
linear,2020,125,AB2,MAE,1.193142850540734
linear,2020,125,AB2,DA,0.4879518072289157
linear,2020,125,AB3,RMSE,1.4043332168222757
linear,2020,125,AB3,MAE,1.1109782917388191
linear,2020,125,AB3,DA,0.5843373493975904
linear,2020,125,AB4,RMSE,1.473372257597398
linear,2020,125,AB4,MAE,1.175681460415146
linear,2020,125,AB4,DA,0.4819277108433735
linear,2020,125,AB5,RMSE,1.437058966403822
linear,2020,125,AB5,MAE,1.136416203024192
linear,2020,125,AB5,DA,0.5783132530120482
linear,2021,125,MPTE,RMSE,1.1823560537475846
linear,2021,125,MPTE,MAE,0.9596686625690765
linear,2021,125,MPTE,DA,0.6445783132530121
linear,2021,125,AR,RMSE,1.4667843432501886
linear,2021,125,AR,MAE,1.1643709309279915
linear,2021,125,AR,DA,0.3433734939759036
linear,2021,125,MIDAS,RMSE,1.2433879662165577
linear,2021,125,MIDAS,MAE,0.9918549235172767
linear,2021,125,MIDAS,DA,0.6295180722891566
linear,2021,125,AB1,RMSE,1.1801550105333611
linear,2021,125,AB1,MAE,0.9500986999392339
linear,2021,125,AB1,DA,0.6746987951807228
linear,2021,125,AB2,RMSE,1.193685652053254
linear,2021,125,AB2,MAE,0.9644830002242237
linear,2021,125,AB2,DA,0.6234939759036144
linear,2021,125,AB3,RMSE,1.188338080001922
linear,2021,125,AB3,MAE,0.9657083591065658
linear,2021,125,AB3,DA,0.6445783132530121
linear,2021,125,AB4,RMSE,1.4316891578874822
linear,2021,125,AB4,MAE,1.1323010766953459
linear,2021,125,AB4,DA,0.5903614457831325
linear,2021,125,AB5,RMSE,1.1892092794729363
linear,2021,125,AB5,MAE,0.952227058518802
linear,2021,125,AB5,DA,0.6686746987951807
linear,2022,125,MPTE,RMSE,1.2042916993831183
linear,2022,125,MPTE,MAE,0.9488609036038674
linear,2022,125,MPTE,DA,0.7319277108433735
linear,2022,125,AR,RMSE,1.3687449481764786
linear,2022,125,AR,MAE,1.0832419952878638
linear,2022,125,AR,DA,0.04216867469879518
linear,2022,125,MIDAS,RMSE,1.2922710526887093
linear,2022,125,MIDAS,MAE,1.0335204821878048
linear,2022,125,MIDAS,DA,0.6536144578313253
linear,2022,125,AB1,RMSE,1.2074435688630578
linear,2022,125,AB1,MAE,0.9417166517713778
linear,2022,125,AB1,DA,0.6987951807228916
linear,2022,125,AB2,RMSE,1.2415517355629078
linear,2022,125,AB2,MAE,0.9859873520874324
linear,2022,125,AB2,DA,0.7078313253012049
linear,2022,125,AB3,RMSE,1.1837601720603736
linear,2022,125,AB3,MAE,0.9448731362962374
linear,2022,125,AB3,DA,0.7198795180722891
linear,2022,125,AB4,RMSE,1.3167829692399293
linear,2022,125,AB4,MAE,1.058518232392402
linear,2022,125,AB4,DA,0.6927710843373494
linear,2022,125,AB5,RMSE,1.1597937828221223
linear,2022,125,AB5,MAE,0.9293784011455752
linear,2022,125,AB5,DA,0.75
linear,2023,125,MPTE,RMSE,1.2848847712569071
linear,2023,125,MPTE,MAE,1.0164315433440319
linear,2023,125,MPTE,DA,0.7228915662650602
linear,2023,125,AR,RMSE,1.6222463123127076
linear,2023,125,AR,MAE,1.3298144771576834
linear,2023,125,AR,DA,0.11746987951807229
linear,2023,125,MIDAS,RMSE,1.329409621194891
linear,2023,125,MIDAS,MAE,1.034328514403922
linear,2023,125,MIDAS,DA,0.6807228915662651
linear,2023,125,AB1,RMSE,1.3122168625521262
linear,2023,125,AB1,MAE,1.0318762487994435
linear,2023,125,AB1,DA,0.7048192771084337
linear,2023,125,AB2,RMSE,1.3356878740887554
linear,2023,125,AB2,MAE,1.0527180309426158
